cve_id,package,status,fixed_version,internal_status
CVE-2022-23491,python-certifi,not_applicable,2022.9.24-1,code_not_in_use
CVE-2016-8660,linux,not_applicable,1,code_not_in_use
CVE-2023-50782,python-cryptography,not_applicable,38.0.4-3+deb12u1,code_not_in_use
CVE-2024-3220,python3.12,not_applicable,3.9,os_specific
CVE-2018-20225,python-pip,not_applicable,25.1.1-e0,disputed
CVE-2021-4214,libpng1.6,not_applicable,1.6.39-2,code_not_released
CVE-2020-36325,jansson,not_applicable,2.14-2,disputed
CVE-2004-0230,linux,not_applicable,1,code_not_in_use
CVE-2020-0347,linux,not_applicable,1,code_not_in_use
CVE-2018-6829,libgcrypt20,not_applicable,1.10.1-3,disputed
CVE-2025-29480,gdal,not_applicable,3.10.3+dfsg-1,disputed
CVE-2023-39742,giflib,not_applicable,5.2.2-1+e1,disputed
CVE-2022-24975,git,not_applicable,1:2.39.5-0+deb12u2,disputed
CVE-2025-55160,imagemagick,not_applicable,8:7.1.1.43+dfsg1-1+deb13u2,disputed
CVE-2005-0406,imagemagick,not_applicable,8:7.1.1.43+dfsg1-1+deb13u2,disputed
CVE-2024-34997,joblib,not_applicable,1.4.2-4+e1,disputed
CVE-2023-30571,libarchive,not_applicable,3.7.4-4,disputed
CVE-2015-9019,libxslt,not_applicable,1.1.35-1+deb12u1,disputed
CVE-2008-3234,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2016-20012,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2018-15919,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2019-6110,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2020-14145,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2020-15778,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2023-51767,openssh,not_applicable,1:9.2p1-2+deb12u6,disputed
CVE-2025-45582,tar,not_applicable,1.34+dfsg-1.2+deb12u1,disputed
CVE-2017-16232,tiff,not_applicable,4.7.0,disputed
CVE-2018-10126,tiff,not_applicable,4.7.0,disputed
CVE-2024-3220,python3.9,not_applicable,3.9,os_specific
CVE-2024-3220,python3.11,not_applicable,3.9,os_specific
CVE-2024-3220,python3.13,not_applicable,3.9,os_specific
CVE-2024-39689,python-certifi,not_applicable,2022.9.24-1,code_not_in_use
CVE-2023-36632,python3.9,not_applicable,3.9.21,disputed
CVE-2017-18018,coreutils,not_applicable,9.1-1,code_not_in_use
CVE-2024-2379,curl,not_applicable,7.88.1,code_not_released
CVE-2010-4756,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2018-20796,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2019-1010022,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2019-1010023,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2019-1010024,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2019-1010025,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2019-9192,glibc,not_applicable,2.36-9+deb12u9,disputed
CVE-2013-4392,systemd,not_applicable,252.33-1~deb12u1,code_not_in_use
CVE-2023-31437,systemd,not_applicable,252.33-1~deb12u1,disputed
CVE-2023-31438,systemd,not_applicable,252.33-1~deb12u1,disputed
CVE-2024-28956,linux,not_applicable,1,code_not_in_use
CVE-2023-45853,zlib,not_applicable,1:1.2.13.dfsg-1,code_not_released
CVE-2023-31439,systemd,not_applicable,252.33-1~deb12u1,disputed
CVE-2005-1119,sudo,not_applicable,1.9.13p3-1+deb12u1,disputed
CVE-2009-4487,nginx,not_applicable,1.26.2,disputed
CVE-2013-0337,nginx,not_applicable,1.26.2,disputed
